YYYY,MM,DD,TMAX,TMIN,PRCP,SNOW,SNWD
2003,04,01,   16.0,    2.4,-9999.0,-9999.0,-9999.0
2003,04,02,   13.6,    5.1,-9999.0,-9999.0,-9999.0
2003,04,03,   15.8,    0.3,    6.1,-9999.0,-9999.0
2003,04,04,   15.2,    7.0,-9999.0,-9999.0,-9999.0
2003,04,05,   20.2,    7.2,-9999.0,-9999.0,-9999.0
2003,04,06,    8.0,    5.0,-9999.0,-9999.0,-9999.0
2003,04,07,   15.9,    3.4,    0.0,-9999.0,-9999.0
2003,04,08,   17.6,-9999.0,-9999.0,-9999.0,-9999.0
2003,04,09,    8.7,   -2.4,-9999.0,-9999.0,-9999.0
2003,04,10,   13.4,-9999.0,-9999.0,-9999.0,-9999.0
2003,04,11,   16.8,    1.2,    0.0,-9999.0,-9999.0
2003,04,12,   21.4,    6.2,-9999.0,-9999.0,-9999.0
2003,04,13,   22.2,-9999.0,-9999.0,-9999.0,-9999.0
2003,04,14,   21.2,   10.8,-9999.0,-9999.0,-9999.0
2003,04,15,   22.2,    7.8,    0.0,-9999.0,-9999.0
2003,04,16,   19.6,    5.8,    0.0,-9999.0,-9999.0
2003,04,17,   17.0,    3.8,    0.0,-9999.0,-9999.0
2003,04,18,    9.4,    7.2,-9999.0,-9999.0,-9999.0
2003,04,19,   13.4,    8.0,   14.0,-9999.0,-9999.0
2003,04,20,   10.4,-9999.0,-9999.0,-9999.0,-9999.0
2003,04,21,    8.2,    3.8,    0.0,-9999.0,-9999.0
2003,04,22,   12.9,    3.0,    0.0,-9999.0,-9999.0
2003,04,23,   11.2,-9999.0,-9999.0,-9999.0,-9999.0
2003,04,24,   17.6,    6.8,-9999.0,-9999.0,-9999.0
2003,04,25,   11.9,-9999.0,    2.0,-9999.0,-9999.0
2003,04,26,   14.3,    3.1,    0.0,-9999.0,-9999.0
2003,04,27,   13.6,    3.6,    0.0,-9999.0,-9999.0
2003,04,28,   16.4,    2.0,    0.0,-9999.0,-9999.0
2003,04,29,   19.4,    6.2,    0.0,-9999.0,-9999.0
2003,04,30,   21.0,    5.0,    0.0,-9999.0,-9999.0
2003,05,01,   24.2,    7.6,    0.0,-9999.0,-9999.0
2003,05,02,   26.4,-9999.0,-9999.0,-9999.0,-9999.0
2003,05,03,   28.7,   10.6,    0.0,-9999.0,-9999.0
2003,05,04,   29.5,   12.0,    0.0,-9999.0,-9999.0
2003,05,05,   27.2,-9999.0,-9999.0,-9999.0,-9999.0
2003,05,06,   23.6,   10.5,    0.0,-9999.0,-9999.0
2003,05,07,   22.4,    8.2,-9999.0,-9999.0,-9999.0
2003,05,08,   24.2,    8.2,    0.0,-9999.0,-9999.0
2003,05,09,   26.2,   10.0,    0.0,-9999.0,-9999.0
2003,05,10,   27.4,   13.0,    0.0,-9999.0,-9999.0
2003,05,11,   28.8,   15.0,-9999.0,-9999.0,-9999.0
2003,05,12,   29.4,   12.9,-9999.0,-9999.0,-9999.0
2003,05,13,   29.8,   15.0,-9999.0,-9999.0,-9999.0
2003,05,14,   29.2,   14.2,-9999.0,-9999.0,-9999.0
2003,05,15,   29.0,   14.2,    0.0,-9999.0,-9999.0
2003,05,16,   26.7,   12.8,    0.0,-9999.0,-9999.0
2003,05,17,   25.6,   13.6,-9999.0,-9999.0,-9999.0
2003,05,18,   25.0,-9999.0,-9999.0,-9999.0,-9999.0
2003,05,19,   27.2,   11.6,    0.0,-9999.0,-9999.0
2003,05,20,   24.4,   15.0,    0.0,-9999.0,-9999.0
2003,05,21,   24.6,   13.2,    1.8,-9999.0,-9999.0
2003,05,22,   26.4,   12.4,    0.8,-9999.0,-9999.0
2003,05,23,   27.2,   10.8,    0.0,-9999.0,-9999.0
2003,05,24,   27.0,-9999.0,-9999.0,-9999.0,-9999.0
2003,05,25,   22.4,   11.2,    7.1,-9999.0,-9999.0
2003,05,26,   19.4,   11.6,-9999.0,-9999.0,-9999.0
2003,05,27,   22.4,    9.2,    0.0,-9999.0,-9999.0
2003,05,28,   21.0,   11.4,    4.6,-9999.0,-9999.0
2003,05,29,   23.0,   11.8,-9999.0,-9999.0,-9999.0
2003,05,30,   22.4,-9999.0,-9999.0,-9999.0,-9999.0
2003,05,31,   22.0,   11.6,-9999.0,-9999.0,-9999.0
2003,06,01,   23.6,    9.3,    0.0,-9999.0,-9999.0
2003,06,02,   27.1,   11.7,    0.0,-9999.0,-9999.0
2003,06,03,   26.8,   11.4,    0.0,-9999.0,-9999.0
2003,06,04,   25.6,   12.2,-9999.0,-9999.0,-9999.0
2003,06,05,   23.6,   11.2,    0.0,-9999.0,-9999.0
2003,06,06,   26.0,   11.2,    0.0,-9999.0,-9999.0
2003,06,07,   28.6,   13.2,    0.0,-9999.0,-9999.0
2003,06,08,   29.4,   15.5,    0.0,-9999.0,-9999.0
2003,06,09,   29.2,   17.0,    0.0,-9999.0,-9999.0
2003,06,10,   28.4,   14.0,    0.0,-9999.0,-9999.0
